,movie,year,rating,vote
0,Logan,(2017),8.1,121002
1,Thor: Ragnarok,(2017),7.9,121002
2,Guardians of the Galaxy Vol. 2,(2017),7.6,121002
3,Wonder Woman,(2017),7.4,121002
4,Dunkirk,(2017),7.9,121002
5,Star Wars: Episode VIII - The Last Jedi,(2017),7.1,121002
6,Spider-Man: Homecoming,(2017),7.5,121002
7,Get Out,(I) (2017),7.7,121002
8,Blade Runner 2049,(2017),8.0,121002
9,Baby Driver,(2017),7.6,121002
10,It,(I) (2017),7.4,121002
11,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,121002
12,Justice League,(2017),6.4,121002
13,The Shape of Water,(2017),7.3,121002
14,John Wick: Chapter 2,(2017),7.5,121002
15,Coco,(I) (2017),8.4,121002
16,Jumanji: Welcome to the Jungle,(2017),6.9,121002
17,Beauty and the Beast,(2017),7.2,121002
18,Kong: Skull Island,(2017),6.6,121002
19,Kingsman: The Golden Circle,(2017),6.8,121002
20,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,121002
21,Alien: Covenant,(2017),6.4,121002
22,13 Reasons Why,(2017– ),7.9,121002
23,War for the Planet of the Apes,(2017),7.4,121002
24,The Greatest Showman,(2017),7.6,121002
25,Life,(I) (2017),6.6,121002
26,The Fate of the Furious,(2017),6.7,121002
27,Lady Bird,(2017),7.4,121002
28,Murder on the Orient Express,(2017),6.5,121002
29,Ghost in the Shell,(2017),6.4,121002
30,Wind River,(2017),7.7,121002
31,King Arthur: Legend of the Sword,(2017),6.8,121002
32,The Hitman's Bodyguard,(2017),6.9,121002
33,Mother!,(2017),6.6,121002
34,Call Me by Your Name,(2017),7.9,121002
35,The Mummy,(2017),5.5,121002
36,La Casa de Papel,(2017– ),8.6,121002
37,The Punisher,(2017–2019),8.6,121002
38,Atomic Blonde,(2017),6.7,121002
39,Bright,(I) (2017),6.4,121002
40,"I, Tonya",(2017),7.5,121002
41,Valerian and the City of a Thousand Planets,(2017),6.5,121002
42,Baywatch,(2017),5.5,121002
43,Darkest Hour,(2017),7.4,121002
44,Dark,(2017– ),8.7,121002
45,Mindhunter,(2017– ),8.6,121002
46,American Made,(2017),7.1,121002
47,The Handmaid's Tale,(2017– ),8.5,121002
48,Transformers: The Last Knight,(2017),5.2,121002
49,Big Little Lies,(2017– ),8.6,121002
